vote_choice,place_birth_canada,sex,education,province,income_family,age,vote_liberal,vote_conservative
Liberal Party,Born in Canada,Male,Bachelor's degree,Alberta,"$75,000 to $99,999",30 to 44 years,1,0
NDP,Born in Canada,Female,High school diploma or a high school equivalency certificate,British Columbia,"$25,000 to $49,999",45 to 64 years,0,0
Liberal Party,Born in Canada,Male,"College, CEGEP or other non-university certificate or diploma",Ontario,"$10,000 to $149,999",45 to 64 years,1,0
Conservative Party,Born in Canada,Male,High school diploma or a high school equivalency certificate,Ontario,"Less than $25,000",65 years and over,0,1
Liberal Party,Born in Canada,Female,Bachelor's degree,Ontario,"$75,000 to $99,999",0 to 29 years,1,0
Another party (specify),Born in Canada,Male,Bachelor's degree,Ontario,"$150,000 and more",30 to 44 years,0,0
Liberal Party,Born in Canada,Female,University certificate or diploma below the bachelor's level,Nova Scotia,"$150,000 and more",45 to 64 years,1,0
People's Party,Born in Canada,Male,High school diploma or a high school equivalency certificate,British Columbia,"$75,000 to $99,999",0 to 29 years,0,0
NDP,Born in Canada,Female,"College, CEGEP or other non-university certificate or diploma",Ontario,"$10,000 to $149,999",45 to 64 years,0,0
NDP,Born in Canada,Female,High school diploma or a high school equivalency certificate,Ontario,"$50,000 to $74,999",45 to 64 years,0,0
Liberal Party,Born in Canada,Male,"College, CEGEP or other non-university certificate or diploma",Ontario,"$25,000 to $49,999",45 to 64 years,1,0
Liberal Party,Born in Canada,Male,"University certificate, diploma or degree above the bachelor's level",Quebec,"$25,000 to $49,999",45 to 64 years,1,0
NDP,Born in Canada,Male,High school diploma or a high school equivalency certificate,Saskatchewan,"$25,000 to $49,999",65 years and over,0,0
Conservative Party,Born outside Canada,Female,"College, CEGEP or other non-university certificate or diploma",Ontario,"$50,000 to $74,999",45 to 64 years,0,1
NDP,Born outside Canada,Male,University certificate or diploma below the bachelor's level,Quebec,"$25,000 to $49,999",65 years and over,0,0
Liberal Party,Born in Canada,Male,"College, CEGEP or other non-university certificate or diploma",Ontario,"$150,000 and more",0 to 29 years,1,0
Conservative Party,Born outside Canada,Female,High school diploma or a high school equivalency certificate,Ontario,"Less than $25,000",65 years and over,0,1
Liberal Party,Born outside Canada,Male,"University certificate, diploma or degree above the bachelor's level",Alberta,"$75,000 to $99,999",65 years and over,1,0
Conservative Party,Born in Canada,Female,Bachelor's degree,Nova Scotia,"$10,000 to $149,999",45 to 64 years,0,1
Liberal Party,Born in Canada,Female,Bachelor's degree,Saskatchewan,"$75,000 to $99,999",45 to 64 years,1,0
Liberal Party,Born in Canada,Male,"College, CEGEP or other non-university certificate or diploma",Ontario,"$50,000 to $74,999",65 years and over,1,0
Liberal Party,Born in Canada,Female,Bachelor's degree,Ontario,"$50,000 to $74,999",65 years and over,1,0
Liberal Party,Born in Canada,Female,Bachelor's degree,Manitoba,"$75,000 to $99,999",45 to 64 years,1,0
Liberal Party,Born in Canada,Female,High school diploma or a high school equivalency certificate,Ontario,"$10,000 to $149,999",45 to 64 years,1,0
Liberal Party,Born in Canada,Female,University certificate or diploma below the bachelor's level,Nova Scotia,"$50,000 to $74,999",45 to 64 years,1,0
Liberal Party,Born outside Canada,Female,Bachelor's degree,Ontario,"$50,000 to $74,999",65 years and over,1,0
Liberal Party,Born in Canada,Male,Bachelor's degree,Ontario,"$10,000 to $149,999",45 to 64 years,1,0
Liberal Party,Born in Canada,Female,University certificate or diploma below the bachelor's level,Northern Canada,"$10,000 to $149,999",65 years and over,1,0
Green Party,Born in Canada,Male,University certificate or diploma below the bachelor's level,Manitoba,"Less than $25,000",45 to 64 years,0,0
Conservative Party,Born in Canada,Female,"College, CEGEP or other non-university certificate or diploma",Ontario,"$50,000 to $74,999",45 to 64 years,0,1
Conservative Party,Born in Canada,Male,High school diploma or a high school equivalency certificate,Alberta,"$50,000 to $74,999",65 years and over,0,1
People's Party,Born in Canada,Female,University certificate or diploma below the bachelor's level,Ontario,"$25,000 to $49,999",0 to 29 years,0,0
Liberal Party,Born in Canada,Female,High school diploma or a high school equivalency certificate,Nova Scotia,"$25,000 to $49,999",45 to 64 years,1,0
NDP,Born in Canada,Male,University certificate or diploma below the bachelor's level,Ontario,"$50,000 to $74,999",65 years and over,0,0
Liberal Party,Born in Canada,Female,Bachelor's degree,Nova Scotia,"$50,000 to $74,999",45 to 64 years,1,0
Conservative Party,Born in Canada,Female,High school diploma or a high school equivalency certificate,Ontario,"$25,000 to $49,999",65 years and over,0,1
Liberal Party,Born in Canada,Male,"College, CEGEP or other non-university certificate or diploma",Quebec,"$10,000 to $149,999",45 to 64 years,1,0
Conservative Party,Born in Canada,Male,High school diploma or a high school equivalency certificate,Ontario,"$50,000 to $74,999",45 to 64 years,0,1
Conservative Party,Born in Canada,Male,"University certificate, diploma or degree above the bachelor's level",British Columbia,"$50,000 to $74,999",65 years and over,0,1
Liberal Party,Born in Canada,Male,High school diploma or a high school equivalency certificate,Quebec,"$25,000 to $49,999",65 years and over,1,0
Liberal Party,Born in Canada,Male,"University certificate, diploma or degree above the bachelor's level",Quebec,"$75,000 to $99,999",65 years and over,1,0
NDP,Born in Canada,Female,Bachelor's degree,British Columbia,"$50,000 to $74,999",65 years and over,0,0
Green Party,Born in Canada,Female,"College, CEGEP or other non-university certificate or diploma",Ontario,"Less than $25,000",65 years and over,0,0
NDP,Born in Canada,Female,University certificate or diploma below the bachelor's level,Alberta,"Less than $25,000",45 to 64 years,0,0
Conservative Party,Born in Canada,Female,High school diploma or a high school equivalency certificate,Manitoba,"$50,000 to $74,999",45 to 64 years,0,1
Conservative Party,Born in Canada,Female,"College, CEGEP or other non-university certificate or diploma",Alberta,"$75,000 to $99,999",45 to 64 years,0,1
Bloc Québécois,Born in Canada,Male,High school diploma or a high school equivalency certificate,Quebec,"$50,000 to $74,999",65 years and over,0,0
Liberal Party,Born in Canada,Male,"University certificate, diploma or degree above the bachelor's level",Ontario,"$50,000 to $74,999",45 to 64 years,1,0
NDP,Born in Canada,Male,"College, CEGEP or other non-university certificate or diploma",Alberta,"$25,000 to $49,999",45 to 64 years,0,0
Conservative Party,Born in Canada,Male,"College, CEGEP or other non-university certificate or diploma",Ontario,"$75,000 to $99,999",30 to 44 years,0,1
NDP,Born in Canada,Male,Less than high school diploma or its equivalent,Ontario,"Less than $25,000",30 to 44 years,0,0
Conservative Party,Born in Canada,Male,Bachelor's degree,Ontario,"$50,000 to $74,999",65 years and over,0,1
Liberal Party,Born outside Canada,Male,"College, CEGEP or other non-university certificate or diploma",Quebec,"$25,000 to $49,999",65 years and over,1,0
Liberal Party,Born outside Canada,Female,"University certificate, diploma or degree above the bachelor's level",Ontario,"$75,000 to $99,999",65 years and over,1,0
NDP,Born in Canada,Female,High school diploma or a high school equivalency certificate,Quebec,"$25,000 to $49,999",30 to 44 years,0,0
Conservative Party,Born in Canada,Male,High school diploma or a high school equivalency certificate,Ontario,"$75,000 to $99,999",45 to 64 years,0,1
Liberal Party,Born in Canada,Female,"College, CEGEP or other non-university certificate or diploma",Saskatchewan,"$10,000 to $149,999",30 to 44 years,1,0
Conservative Party,Born in Canada,Female,"College, CEGEP or other non-university certificate or diploma",British Columbia,"$25,000 to $49,999",65 years and over,0,1
Liberal Party,Born in Canada,Male,"College, CEGEP or other non-university certificate or diploma",British Columbia,"Less than $25,000",65 years and over,1,0
Conservative Party,Born in Canada,Female,High school diploma or a high school equivalency certificate,Ontario,"Less than $25,000",65 years and over,0,1
Conservative Party,Born in Canada,Male,Bachelor's degree,Alberta,"$75,000 to $99,999",65 years and over,0,1
Liberal Party,Born outside Canada,Female,High school diploma or a high school equivalency certificate,Ontario,"$25,000 to $49,999",45 to 64 years,1,0
Liberal Party,Born in Canada,Female,Bachelor's degree,British Columbia,"$25,000 to $49,999",65 years and over,1,0
Green Party,Born in Canada,Male,High school diploma or a high school equivalency certificate,British Columbia,"$50,000 to $74,999",45 to 64 years,0,0
Conservative Party,Born in Canada,Male,High school diploma or a high school equivalency certificate,Alberta,"$50,000 to $74,999",65 years and over,0,1
Liberal Party,Born in Canada,Female,Bachelor's degree,Quebec,"$150,000 and more",0 to 29 years,1,0
NDP,Born in Canada,Male,Less than high school diploma or its equivalent,Ontario,"Less than $25,000",65 years and over,0,0
Conservative Party,Born outside Canada,Male,"University certificate, diploma or degree above the bachelor's level",Quebec,"$10,000 to $149,999",30 to 44 years,0,1
Conservative Party,Born in Canada,Female,Less than high school diploma or its equivalent,Ontario,"$10,000 to $149,999",65 years and over,0,1
Conservative Party,Born in Canada,Male,"College, CEGEP or other non-university certificate or diploma",Alberta,"$150,000 and more",45 to 64 years,0,1
Conservative Party,Born outside Canada,Male,Bachelor's degree,Alberta,"$50,000 to $74,999",65 years and over,0,1
NDP,Born in Canada,Male,"University certificate, diploma or degree above the bachelor's level",British Columbia,"$150,000 and more",45 to 64 years,0,0
Conservative Party,Born in Canada,Female,Bachelor's degree,Ontario,"$50,000 to $74,999",65 years and over,0,1
Liberal Party,Born in Canada,Female,University certificate or diploma below the bachelor's level,Quebec,"$25,000 to $49,999",65 years and over,1,0
Liberal Party,Born in Canada,Female,"College, CEGEP or other non-university certificate or diploma",Manitoba,"$75,000 to $99,999",45 to 64 years,1,0
Conservative Party,Born outside Canada,Female,"College, CEGEP or other non-university certificate or diploma",Ontario,"$10,000 to $149,999",45 to 64 years,0,1
Liberal Party,Born in Canada,Male,"College, CEGEP or other non-university certificate or diploma",British Columbia,"$50,000 to $74,999",65 years and over,1,0
Liberal Party,Born outside Canada,Male,University certificate or diploma below the bachelor's level,Ontario,"$25,000 to $49,999",65 years and over,1,0
NDP,Born in Canada,Male,"College, CEGEP or other non-university certificate or diploma",Ontario,"$50,000 to $74,999",0 to 29 years,0,0
Conservative Party,Born outside Canada,Female,High school diploma or a high school equivalency certificate,Alberta,"$50,000 to $74,999",65 years and over,0,1
Liberal Party,Born in Canada,Female,Less than high school diploma or its equivalent,Ontario,"$75,000 to $99,999",65 years and over,1,0
NDP,Born in Canada,Male,"College, CEGEP or other non-university certificate or diploma",Ontario,"$10,000 to $149,999",30 to 44 years,0,0
Liberal Party,Born in Canada,Male,"College, CEGEP or other non-university certificate or diploma",Alberta,"$50,000 to $74,999",45 to 64 years,1,0
Conservative Party,Born in Canada,Female,High school diploma or a high school equivalency certificate,Saskatchewan,"$25,000 to $49,999",30 to 44 years,0,1
Conservative Party,Born in Canada,Female,"College, CEGEP or other non-university certificate or diploma",Ontario,"$150,000 and more",45 to 64 years,0,1
Conservative Party,Born in Canada,Female,"College, CEGEP or other non-university certificate or diploma",Ontario,"$10,000 to $149,999",45 to 64 years,0,1
Liberal Party,Born in Canada,Male,Bachelor's degree,Ontario,"$10,000 to $149,999",45 to 64 years,1,0
Liberal Party,Born outside Canada,Male,Bachelor's degree,Ontario,"$150,000 and more",30 to 44 years,1,0
Conservative Party,Born in Canada,Male,High school diploma or a high school equivalency certificate,Alberta,"$25,000 to $49,999",45 to 64 years,0,1
Liberal Party,Born in Canada,Female,High school diploma or a high school equivalency certificate,British Columbia,"$25,000 to $49,999",65 years and over,1,0
Liberal Party,Born in Canada,Male,"College, CEGEP or other non-university certificate or diploma",Manitoba,"$25,000 to $49,999",65 years and over,1,0
Conservative Party,Born in Canada,Male,"University certificate, diploma or degree above the bachelor's level",British Columbia,"$150,000 and more",65 years and over,0,1
NDP,Born outside Canada,Female,University certificate or diploma below the bachelor's level,Alberta,"$50,000 to $74,999",30 to 44 years,0,0
Liberal Party,Born in Canada,Male,Less than high school diploma or its equivalent,New Brunswick,"Less than $25,000",45 to 64 years,1,0
Conservative Party,Born in Canada,Female,High school diploma or a high school equivalency certificate,Ontario,"$75,000 to $99,999",45 to 64 years,0,1
Liberal Party,Born in Canada,Male,"University certificate, diploma or degree above the bachelor's level",Ontario,"$75,000 to $99,999",30 to 44 years,1,0
Conservative Party,Born in Canada,Male,"College, CEGEP or other non-university certificate or diploma",Alberta,"$25,000 to $49,999",65 years and over,0,1
Liberal Party,Born in Canada,Female,"College, CEGEP or other non-university certificate or diploma",Ontario,"Less than $25,000",65 years and over,1,0
Bloc Québécois,Born in Canada,Male,High school diploma or a high school equivalency certificate,Quebec,"$75,000 to $99,999",65 years and over,0,0
